cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
434,432,,,,,,,1800.0,USD,,,,,,,1500.0,USD,2025-03-26 03:44:00+0000
435,433,,,,,,,,,,,,,,,,,2025-03-26 02:55:00+0000
436,434,,,,,,,,,,,,,,,,,2025-03-26 02:49:00+0000
437,435,,,,,,,,,,,,,,,,,2025-03-25 20:00:00+0000
438,436,,,,,,,,,,,,,,,,,2025-03-25 19:53:00+0000
439,437,,,,,,,,,,,,,,,,,2025-03-25 19:53:00+0000
440,438,,,,,,,,,,,,,,,,,2025-03-25 18:58:00+0000
441,439,,,802.0,USD,1313.0,USD,950.0,USD,,,,,585.0,USD,,,2025-03-25 18:58:00+0000
442,440,,,,,,,1200.0,USD,,,,,,,900.0,USD,2025-03-25 00:00:00+0000
443,441,,,,,,,900.0,USD,,,,,,,1200.0,USD,2025-03-25 00:00:00+0000
444,442,,,,,,,1000.0,USD,,,,,,,1200.0,USD,2025-03-25 00:00:00+0000
445,443,,,,,,,900.0,USD,,,,,,,,,2025-03-25 00:00:00+0000
446,444,,,500.0,USD,520.0,USD,540.0,USD,,,,,500.0,USD,540.0,USD,2025-03-26 02:40:00+0000
447,445,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
448,446,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
449,447,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
450,448,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
451,449,,,,,,,,,,,,,,,,,2025-03-26 02:45:00+0000
452,450,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
453,451,,,,,,,,,,,,,,,,,2025-03-26 02:28:00+0000
454,452,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
455,453,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
456,454,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
457,456,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
458,457,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
459,458,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
460,459,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
461,460,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
462,461,,,,,,,,,,,,,,,,,2025-03-20 00:00:00+0000
